"","gender","age","region","subjectID","experimentName","item","verbtype","complementizer","prosody","naturalness","veridicality","comment"
"86","F","20s","non48",7.37e+14,"veridicality-pilot2","come","moreu","jul2","MV",7,7,""
"87","F","20s","non48",7.37e+14,"veridicality-pilot2","come","al","go","MV",5,2,""
"88","F","20s","non48",7.37e+14,"veridicality-pilot2","painter","mit","go","EV",7,2,""
"89","F","20s","non48",7.37e+14,"veridicality-pilot2","marry","moreu","jul2","EV",7,7,""
"90","F","20s","non48",7.37e+14,"veridicality-pilot2","marry","al","jul2","EV",7,1,""
"91","F","20s","non48",7.37e+14,"veridicality-pilot2","painter","alanae","go","EV",3,5,""
"92","F","20s","non48",7.37e+14,"veridicality-pilot2","marry","moreu","go","ES",1,6,""
"93","F","20s","non48",7.37e+14,"veridicality-pilot2","come","gieok","go","ES",7,4,""
"94","F","30s","nonUS",9.82e+14,"veridicality-pilot2","come","gieok","go","MV",6,7,""
"95","F","30s","nonUS",9.82e+14,"veridicality-pilot2","painter","moreu","jul1","ES",5,6,""
"96","F","30s","nonUS",9.82e+14,"veridicality-pilot2","marry","ggameok","go","EV",5,5,""
"97","F","30s","nonUS",9.82e+14,"veridicality-pilot2","come","ggameok","go","MV",3,4,""
"98","F","30s","nonUS",9.82e+14,"veridicality-pilot2","painter","moreu","go","EV",4,5,""
"99","F","30s","nonUS",9.82e+14,"veridicality-pilot2","marry","moreu","go","MV",5,5,""
"100","F","30s","nonUS",9.82e+14,"veridicality-pilot2","marry","al","jul1","MV",4,5,""
"101","F","30s","nonUS",9.82e+14,"veridicality-pilot2","marry","gieok","go","EV",4,2,""
"102","F","30s","nonUS",9.82e+14,"veridicality-pilot2","come","gieok","jul1","MV",6,4,""
"103","F","30s","nonUS",9.82e+14,"veridicality-pilot2","painter","mit","jul1","MV",4,5,""
"104","F","30s","nonUS",9.82e+14,"veridicality-pilot2","come","alanae","go","ES",6,5,""
"105","F","30s","nonUS",9.82e+14,"veridicality-pilot2","painter","alanae","jul1","MV",5,6,""
"106","F","30s","nonUS",9.82e+14,"veridicality-pilot2","painter","mit","go","MV",3,4,""
"107","F","30s","nonUS",9.82e+14,"veridicality-pilot2","marry","gieok","jul1","ES",6,2,""
"108","F","30s","nonUS",9.82e+14,"veridicality-pilot2","painter","al","jul1","ES",6,2,""
"109","F","30s","nonUS",9.82e+14,"veridicality-pilot2","come","mit","jul1","EV",5,2,""
"110","F","30s","nonUS",9.82e+14,"veridicality-pilot2","painter","al","go","EV",5,3,""
"111","F","30s","nonUS",9.82e+14,"veridicality-pilot2","come","mit","go","ES",7,4,""
"112","F","30s","nonUS",9.82e+14,"veridicality-pilot2","marry","al","go","MV",5,4,""
"113","F","30s","nonUS",9.82e+14,"veridicality-pilot2","come","alanae","jul1","EV",4,5,""
"114","F","30s","nonUS",9.82e+14,"veridicality-pilot2","come","ggameok","jul1","MV",4,6,""
"115","F","30s","nonUS",9.82e+14,"veridicality-pilot2","painter","alanae","go","MV",2,5,""
"116","F","30s","nonUS",9.82e+14,"veridicality-pilot2","marry","ggameok","jul1","ES",4,5,""
"117","F","20s","nonUS",6.04e+14,"veridicality-pilot2","marry","mit","jul2","EV",4,2,""
"118","F","20s","nonUS",6.04e+14,"veridicality-pilot2","marry","mit","go","ES",7,3,""
"119","F","20s","nonUS",6.04e+14,"veridicality-pilot2","painter","ggameok","go","EV",2,3,""
"120","F","20s","nonUS",6.04e+14,"veridicality-pilot2","come","mit","go","MV",4,2,""
"121","F","20s","nonUS",6.04e+14,"veridicality-pilot2","come","al","go","EV",6,4,""
"122","F","20s","nonUS",6.04e+14,"veridicality-pilot2","marry","alanae","go","ES",4,3,""
"123","F","20s","nonUS",6.04e+14,"veridicality-pilot2","painter","moreu","go","MV",2,6,""
"124","F","20s","nonUS",6.04e+14,"veridicality-pilot2","come","alanae","jul2","MV",6,6,""
"125","F","20s","nonUS",6.04e+14,"veridicality-pilot2","painter","gieok","jul2","ES",5,2,""
"126","F","20s","nonUS",6.04e+14,"veridicality-pilot2","painter","ggameok","jul2","ES",2,5,""
"127","F","20s","nonUS",6.04e+14,"veridicality-pilot2","marry","alanae","jul2","EV",4,5,""
"128","F","20s","nonUS",6.04e+14,"veridicality-pilot2","come","mit","jul2","MV",3,4,""
"129","F","20s","nonUS",6.04e+14,"veridicality-pilot2","come","moreu","go","EV",2,2,""
"130","F","20s","nonUS",6.04e+14,"veridicality-pilot2","marry","gieok","go","MV",7,4,""
"131","F","20s","nonUS",6.04e+14,"veridicality-pilot2","come","al","jul2","ES",7,1,""
"132","F","20s","nonUS",6.04e+14,"veridicality-pilot2","come","moreu","jul2","ES",6,6,""
"133","F","20s","nonUS",6.04e+14,"veridicality-pilot2","marry","gieok","jul2","MV",3,3,""
"134","F","20s","nonUS",6.04e+14,"veridicality-pilot2","come","alanae","go","MV",6,6,""
"135","F","20s","nonUS",6.04e+14,"veridicality-pilot2","painter","al","jul2","MV",6,7,""
"136","F","20s","nonUS",6.04e+14,"veridicality-pilot2","painter","gieok","go","EV",7,2,""
"137","F","20s","nonUS",6.04e+14,"veridicality-pilot2","marry","ggameok","jul2","MV",7,7,""
"138","F","20s","nonUS",6.04e+14,"veridicality-pilot2","painter","moreu","jul2","MV",7,7,""
"139","F","20s","nonUS",6.04e+14,"veridicality-pilot2","painter","al","go","MV",5,2,""
"140","F","20s","nonUS",6.04e+14,"veridicality-pilot2","marry","ggameok","go","MV",3,5,""
"141","ndefine","30s","nonUS",7.3e+14,"veridicality-pilot2","come","ggameok","jul1","ES",2,7,""
"142","ndefine","30s","nonUS",7.3e+14,"veridicality-pilot2","painter","mit","go","ES",7,1,""
"143","ndefine","30s","nonUS",7.3e+14,"veridicality-pilot2","come","al","jul1","MV",3,5,""
"144","ndefine","30s","nonUS",7.3e+14,"veridicality-pilot2","come","moreu","jul1","MV",3,7,""
"145","ndefine","30s","nonUS",7.3e+14,"veridicality-pilot2","marry","mit","jul1","MV",2,1,""
"146","ndefine","30s","nonUS",7.3e+14,"veridicality-pilot2","marry","al","jul1","ES",6,2,""
"147","ndefine","30s","nonUS",7.3e+14,"veridicality-pilot2","marry","alanae","jul1","MV",2,5,""
"148","ndefine","30s","nonUS",7.3e+14,"veridicality-pilot2","painter","mit","jul1","EV",6,3,""
"149","ndefine","30s","nonUS",7.3e+14,"veridicality-pilot2","come","gieok","jul1","ES",3,2,""
"150","ndefine","30s","nonUS",7.3e+14,"veridicality-pilot2","painter","alanae","go","ES",6,6,""
"151","ndefine","30s","nonUS",7.3e+14,"veridicality-pilot2","come","ggameok","go","EV",1,4,""
"152","ndefine","30s","nonUS",7.3e+14,"veridicality-pilot2","painter","ggameok","jul1","MV",6,6,""
"153","ndefine","30s","nonUS",7.3e+14,"veridicality-pilot2","come","al","go","MV",7,3,""
"154","ndefine","30s","nonUS",7.3e+14,"veridicality-pilot2","come","gieok","go","EV",7,4,""
"155","ndefine","30s","nonUS",7.3e+14,"veridicality-pilot2","painter","gieok","jul1","MV",5,6,""
"156","ndefine","30s","nonUS",7.3e+14,"veridicality-pilot2","painter","gieok","go","MV",7,4,""
"157","ndefine","30s","nonUS",7.3e+14,"veridicality-pilot2","marry","moreu","jul1","ES",2,6,""
"158","ndefine","30s","nonUS",7.3e+14,"veridicality-pilot2","come","moreu","go","MV",1,4,""
"159","ndefine","30s","nonUS",7.3e+14,"veridicality-pilot2","painter","alanae","jul1","EV",6,6,""
"160","ndefine","30s","nonUS",7.3e+14,"veridicality-pilot2","marry","mit","go","MV",7,1,""
"161","ndefine","30s","nonUS",7.3e+14,"veridicality-pilot2","marry","alanae","go","MV",7,7,""
"162","ndefine","30s","nonUS",7.3e+14,"veridicality-pilot2","marry","al","go","EV",7,1,""
"163","ndefine","30s","nonUS",7.3e+14,"veridicality-pilot2","painter","ggameok","go","MV",1,4,""
"164","ndefine","30s","nonUS",7.3e+14,"veridicality-pilot2","marry","moreu","go","EV",1,4,""
"165","F","20s","nonUS",8.41e+13,"veridicality-pilot2","marry","al","go","MV",6,1,""
